Date,Description,Amount
17/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009804515587,3825.61
17/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0009924515587,2488.31
17/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009874515587,364.80
16/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0009914515587,23886.05
16/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009794515587,15169.23
16/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009864515587,9761.24
16/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0009914515587,6257.26
16/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009794515587,2605.37
16/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009864515587,1540.84
15/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0009904515587,8896.54
15/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009784515587,8531.13
15/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009854515587,7824.42
15/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009784515587,7203.31
15/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0009904515587,2605.28
15/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009854515587,2272.03
15/10/2025,REVERSAL: BANK FEE FEE: CASH DEPOSIT -,126.00
14/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0009894515587,18700.17
14/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009774515587,14968.94
14/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009844515587,7072.06
14/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0009894515587,6822.87
14/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009774515587,2402.35
14/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009844515587,910.65
13/10/2025,FEE: CASH DEPOSIT - NOTES 301666148 R500000 13/10,-126.00
13/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009764515587,12089.36
13/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0009884515587,7171.80
13/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0009884515587,6100.06
13/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009834515587,3059.63
13/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009834515587,774.27
13/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009764515587,124.73
13/10/2025,DEPOSIT CORRECTION ACC NO 301666458,-5000.00
13/10/2025,CASH DEPOSIT: NOTES EASY PAY,5000.00
11/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0009874515587,13931.13
11/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009824515587,4791.84
11/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009754515587,4696.87
11/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0009874515587,3157.02
11/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009824515587,2418.44
11/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009754515587,1396.77
10/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009744515587,12218.62
10/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0009864515587,9702.55
10/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009814515587,6285.51
10/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009744515587,5232.95
10/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0009864515587,4663.37
10/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009814515587,4487.20
09/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009734515587,15415.15
09/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0009854515587,13688.22
09/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009734515587,5783.64
09/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0009854515587,5090.85
09/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009804515587,1103.44
09/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009804515587,939.48
08/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009724515587,18114.26
08/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0009844515587,15026.16
08/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0009844515587,2258.16
08/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009724515587,1497.41
08/10/2025,IB PAYMENT TO CJ PHARMACEUTICAL,-700000.00
08/10/2025,IB TRANSFER TO Roos Cash Reitz13H19,-45360.00
08/10/2025,IB TRANSFER FROM SB1 - SB2      13H15,400000.00
07/10/2025,FEE: CASH DEPOSIT - COINS 301666148 R407730 07/10,-237.60
07/10/2025,FEE: CASH DEPOSIT - NOTES 301666148 R407730 07/10,-29.65
07/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0009834515587,20594.85
07/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009794515587,11031.55
07/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009714515587,8000.40
07/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0009834515587,6022.81
07/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009714515587,5397.87
07/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009794515587,653.71
07/10/2025,CASH DEPOSIT NOTES/COINS PETROL,4077.30
06/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0009824515587,15943.02
06/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009704515587,6770.29
06/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0009824515587,2104.39
06/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009704515587,1228.54
04/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0009814515587,21564.45
04/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009694515587,9826.14
04/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0009814515587,9419.79
04/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009784515587,6934.88
04/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009694515587,2910.39
04/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009784515587,2360.20
03/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0009804515587,24269.84
03/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009684515587,15242.70
03/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0009804515587,7987.78
03/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009774515587,6147.59
03/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009684515587,3988.75
03/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009774515587,578.65
03/10/2025,ACCOUNT PAYMENT XPROCURE  ACC 6011632,-632.67
02/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0009794515587,20981.51
02/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009674515587,19006.29
02/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009764515587,8355.18
02/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0009794515587,7278.41
02/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009674515587,6192.93
02/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009764515587,4143.39
01/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0009784515587,17655.99
01/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009664515587,8507.80
01/10/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009754515587,4923.02
01/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009664515587,3600.82
01/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009754515587,3285.77
01/10/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0009784515587,2948.64
01/10/2025,ELECTRONIC TRF - CREDIT CARD SB MERCH DISC          4515587,-17075.39
01/10/2025,CREDIT AGREEMENT REPAYMENT VW_FIN_SER87023583281,-18817.63
01/10/2025,IB PAYMENT TO BOTES & HECHTER LABOUR GROUP,-400.00
30/09/2025,SERVICE FEE ACC   301666148,-359.20
30/09/2025,MONTHLY MANAGEMENT FEE ACC   301666148,-110.00
30/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0009774515587,21595.48
30/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009654515587,16244.31
30/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009654515587,7509.08
30/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0009774515587,5143.58
30/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009744515587,4952.48
30/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009744515587,586.57
30/09/2025,ACCOUNT PAYMENT K2011SA   NASHUA 024749,-4948.44
30/09/2025,IB PAYMENT TO GREEN IMPRESSIONS,-550.00
29/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0009764515587,15347.14
29/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009644515587,8986.08
29/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009734515587,8298.38
29/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0009764515587,4105.90
29/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009644515587,1406.43
29/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009734515587,597.50
29/09/2025,IB PAYMENT TO CJ PHARMACEUTICAL,-200000.00
29/09/2025,IB PAYMENT TO KHUMBULA TRADING KHUMBULATRAD,-13955.11
27/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0009754515587,21797.04
27/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009634515587,15131.20
27/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009724515587,14758.45
27/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0009754515587,9193.29
27/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009634515587,4628.01
27/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009724515587,3831.94
26/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0009744515587,26712.79
26/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009714515587,16369.00
26/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009624515587,11994.07
26/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0009744515587,8888.70
26/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009624515587,1394.45
26/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009714515587,1372.52
25/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0009734515587,21392.38
25/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009704515587,12240.19
25/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0009734515587,5653.40
25/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009704515587,4545.46
25/09/2025,IB PAYMENT TO MARIA SMITH,-11327.00
25/09/2025,IB PAYMENT TO JULIEN MADUNA JULIENMADUNA,-7425.00
25/09/2025,IB PAYMENT TO MARI-LOUISE MULLER MARI MULLER,-4500.00
25/09/2025,IB PAYMENT TO WATERPLAAS,-552.00
23/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009694515587,18971.85
23/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009614515587,11229.90
23/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009614515587,7448.32
23/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009694515587,2096.67
23/09/2025,IB PAYMENT TO CJ PHARMACEUTICAL,-300000.00
23/09/2025,IB TRANSFER FROM SB1 - SB2      10H54,100000.00
22/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0009724515587,44017.09
22/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0009724515587,11319.95
22/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009684515587,10594.36
22/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009684515587,3086.77
20/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009674515587,6979.18
20/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009674515587,814.74
19/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009664515587,11186.59
19/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009604515587,9895.29
19/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009664515587,5490.09
19/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009604515587,4954.88
18/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009594515587,11007.36
18/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0009714515587,10167.09
18/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009654515587,7070.64
18/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009594515587,5758.24
18/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009654515587,1237.16
18/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0009714515587,552.80
17/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0009704515587,16548.72
17/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009584515587,9115.79
17/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009634515587,5824.16
17/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009584515587,5488.37
17/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009634515587,5407.49
17/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0009704515587,5171.93
17/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009644515587,2048.46
17/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009644515587,439.02
16/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009624515587,11185.81
16/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0009694515587,8951.64
16/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009574515587,8426.26
16/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009624515587,5060.82
16/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0009694515587,3336.42
16/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009574515587,2976.74
16/09/2025,IB PAYMENT TO CJ PHARMACEUTICAL,-100000.00
16/09/2025,IB PAYMENT TO BOTES & HECHTER LABOUR GROUP,-800.00
16/09/2025,IB PAYMENT TO BASSOPA,-250.00
16/09/2025,IB TRANSFER FROM SB1 - SB2      08H18,100000.00
15/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009564515587,9845.98
15/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0009684515587,6375.99
15/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0009684515587,5103.04
15/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009564515587,3276.69
15/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009614515587,158.95
15/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009614515587,113.95
15/09/2025,IB PAYMENT TO CJ PHARMACEUTICAL,-100000.00
15/09/2025,IB PAYMENT TO VERDURE,-2929.92
13/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0009674515587,16597.40
13/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009554515587,9522.14
13/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0009674515587,5012.14
13/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009604515587,4705.16
13/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009554515587,4050.91
13/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009604515587,1503.23
12/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0009664515587,13348.67
12/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009594515587,7130.00
12/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009544515587,4658.63
12/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0009664515587,2549.68
12/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009594515587,2426.81
12/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009544515587,1893.96
11/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0009654515587,11056.02
11/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009584515587,5056.42
11/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009534515587,4955.36
11/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0009654515587,2276.27
11/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009534515587,2213.43
11/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009584515587,1187.76
11/09/2025,IB PAYMENT TO CJ PHARMACEUTICAL,-100000.00
11/09/2025,IB TRANSFER FROM SB1 - SB2      12H56,20000.00
10/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0009644515587,17178.75
10/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009524515587,9172.76
10/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009574515587,7593.17
10/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009524515587,3175.47
10/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0009644515587,675.68
10/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009574515587,398.50
10/09/2025,FEE - PRE-PAID TOP UP 301666148 VOD PREPA  0795234059,-0.70
10/09/2025,PRE-PAID PAYMENT TO VOD PREPAID    0795234059 E,-165.00
09/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0009634515587,17689.23
09/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009564515587,10095.76
09/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009514515587,8500.88
09/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0009634515587,5271.97
09/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009514515587,3033.64
09/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009564515587,2209.78
09/09/2025,IB PAYMENT TO CJ PHARMACEUTICAL,-334192.79
09/09/2025,IB PAYMENT TO ALPHA PHARM,-56867.77
09/09/2025,IB PAYMENT TO CJ DISTRIBUTION,-39474.29
09/09/2025,IB PAYMENT TO THE LOCAL CHOICE LOCAL CHOICE,-15559.27
09/09/2025,IB PAYMENT TO BRUNEL LABORATORIA,-8985.50
09/09/2025,IB PAYMENT TO SG CONVENIENCE BFN,-7878.45
09/09/2025,IB PAYMENT TO ARRIE NEL,-6551.64
09/09/2025,IB PAYMENT TO USN,-5043.73
09/09/2025,IB PAYMENT TO AMERICAN PIERCING APS PRODUCTS,-5042.81
09/09/2025,IB PAYMENT TO IDEXIS,-4961.10
09/09/2025,IB TRANSFER TO #2 Roos_RTZ pd 16H35,-3257.28
09/09/2025,IB PAYMENT TO LLT MARKETING,-2385.00
09/09/2025,IB PAYMENT TO UNITED PHARMACEUTICA UPD,-2028.89
09/09/2025,IB PAYMENT TO S.O.H GROUP,-1058.43
09/09/2025,IB PAYMENT TO BASSOPA,-379.50
09/09/2025,IB PAYMENT TO BASSOPA,-379.50
09/09/2025,IB PAYMENT TO DTS,-295.32
09/09/2025,IB TRANSFER FROM SB1 - SB2      16H17,200000.00
09/09/2025,IB TRANSFER FROM SB1 - SB2      16H16,20000.00
08/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0009624515587,10176.93
08/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009504515587,2707.08
08/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009504515587,1252.55
08/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0009624515587,812.95
06/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0009614515587,16523.55
06/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009494515587,11592.38
06/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0009614515587,9055.93
06/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009554515587,8643.96
06/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009494515587,2425.92
06/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009554515587,2197.58
05/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0009604515587,26982.81
05/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009484515587,15150.59
05/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0009604515587,4778.27
05/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009544515587,3104.14
05/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009484515587,2460.03
05/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009544515587,1438.28
04/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0009594515587,13738.43
04/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009474515587,11538.25
04/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009534515587,3626.98
04/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009474515587,3495.68
04/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0009594515587,2642.81
04/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009534515587,1472.02
03/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0009584515587,20265.70
03/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009524515587,9193.21
03/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009464515587,8544.03
03/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009464515587,3923.96
03/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0009584515587,1129.63
03/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009524515587,950.59
02/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0009574515587,23031.81
02/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  0  0009514515587,10767.50
02/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  1  0009574515587,8653.13
02/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  2  0009454515587,4114.54
02/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  2  0009454515587,3827.04
02/09/2025,CREDIT CARD EFTPOS SETTLEMENT CR EFTPOS 1OB  0  0009514515587,1193.24
02/09/2025,IB PAYMENT TO CJ PHARMACEUTICAL,-200000.00
02/09/2025,IB TRANSFER FROM SB1 - SB2      12H22,80000.00
01/09/2025,CREDIT CARD EFTPOS SETTLEMENT DR EFTPOS 1OB  1  0009564515587,9556.56
